imdbID,DateID,DAY,MONTH,YEAR
tt2015381,1,1,8,2014
tt1446714,2,8,6,2012
tt4972582,3,20,1,2017
tt3470600,4,21,12,2016
tt1386697,5,5,8,2016
tt2034800,6,17,2,2017
tt3783958,7,25,12,2016
tt1212428,8,21,4,2017
tt1355644,9,21,12,2016
tt3183660,10,18,11,2016
tt4846340,11,6,1,2017
tt3748528,12,16,12,2016
tt3521164,13,23,11,2016
tt4680182,14,21,4,2017
tt2709768,15,8,7,2016
tt2119532,16,4,11,2016
tt4196776,17,29,7,2016
tt3741834,18,6,1,2017
tt2543164,19,11,11,2016
tt1800302,20,27,1,2017
tt4034228,21,16,12,2016
tt1679335,22,4,11,2016
tt1628841,23,24,6,2016
tt4651520,24,29,7,2016
tt2094766,25,21,12,2016
tt4501244,26,23,12,2016
tt4550098,27,9,12,2016
tt3385516,28,27,5,2016
tt1431045,29,12,2,2016
tt2592614,30,27,1,2017
tt3498820,31,6,5,2016
tt0816692,32,7,11,2014
tt1211837,33,4,11,2016
tt2404435,34,23,9,2016
tt1700841,35,12,8,2016
tt4975722,36,18,11,2016
tt4276820,37,20,1,2017
tt1366338,38,28,4,2017
tt1298650,39,20,5,2011
tt4540710,40,9,12,2016
tt2660888,41,22,7,2016
tt2488496,42,18,12,2015
tt3717252,43,6,1,2017
tt4824302,44,29,4,2016
tt2911666,45,24,10,2014
tt0468569,46,18,7,2008
tt0490215,47,13,1,2017
tt4160708,48,26,8,2016
tt2674426,49,3,6,2016
tt1661275,50,7,4,2017
tt3263904,51,9,9,2016
tt2975590,52,25,3,2016
tt3289956,53,21,12,2016
tt3631112,54,7,10,2016
tt2322441,55,13,2,2015
tt0482571,56,20,10,2006
tt2802144,57,13,2,2015
tt4572514,58,13,1,2017
tt1392190,59,15,5,2015
tt5195412,60,19,5,2017
tt1860357,61,30,9,2016
tt4776998,62,21,4,2017
tt3640424,63,23,11,2016
tt3416532,64,6,1,2017
tt4682786,65,16,12,2016
tt2948356,66,4,3,2016
tt0449088,67,25,5,2007
tt0848228,68,4,5,2012
tt0361748,69,21,8,2009
tt0383574,70,7,7,2006
tt0087332,71,8,6,1984
tt1375666,72,16,7,2010
tt3553976,73,29,7,2016
tt0993846,74,25,12,2013
tt2267998,75,3,10,2014
tt0369610,76,12,6,2015
tt2361317,77,13,1,2017
tt0499549,78,18,12,2009
tt3460252,79,30,12,2015
tt2140479,80,14,10,2016
tt1392214,81,20,9,2013
tt0803096,82,10,6,2016
tt1454029,83,10,8,2011
tt2005151,84,19,8,2016
tt2395427,85,1,5,2015
tt3799694,86,20,5,2016
tt4255304,87,7,4,2017
tt4714782,88,10,3,2017
